picks choicecount closurecount choicesize closuresize
0 1 9 16455769 468476093
1 2 33 52960067 1302003195
2 3 45 111992968 2485820068
3 4 57 183861731 3232457027
4 5 72 230434614 3709318380
5 6 81 304867273 4466059810
6 7 94 345077789 5246721468
7 8 105 412801388 5904999770
8 9 120 471578593 6188892471
9 10 135 586803473 7053897070
10 11 140 658947148 7328915650
11 12 153 744979394 7807048429
12 13 161 804119004 8701704265
13 14 173 883993253 9034719249
14 15 186 940257203 9973254187
15 16 194 970745165 10496247021
16 17 202 1110862339 10962543997
17 18 211 1267328026 11295050894
18 19 221 1398675608 11860500046
19 20 235 1438089877 12419758577
20 21 241 1467054059 12655567762
21 22 258 1493772898 12985516813
22 23 263 1665151224 14079972372
23 24 272 1747606430 14382865087
24 25 284 1776744706 14848631804
25 26 291 1803299188 15312839238
26 27 297 1960984847 15601612191
27 28 307 2037040484 15916727136
28 29 313 2086307459 16249901085
29 30 323 2211068860 17047540136
30 31 327 2263780744 17219735755
31 32 334 2340923282 17583061426
32 33 341 2389213058 18001849789
33 34 348 2475871447 18687838371
34 35 352 2500264070 18852843005
35 36 368 2506418990 19104287929
36 37 378 2663563622 19739121718
37 38 385 2745574820 19839589818
38 39 388 2791758532 20303737148
39 40 405 2800473817 20413528043
40 41 415 2867480423 20945573037
41 42 423 2935701831 21190686117
42 43 430 2950663552 21471841754
43 44 438 2953966854 21985311389
44 45 444 3293541906 22313795044
45 46 455 3293672924 22550493447
46 47 458 3312437480 22720669893
47 48 470 3344002012 23220502109
48 49 471 3420946402 23503899022
49 50 473 3480237834 23870416822
50 51 485 3671519600 24097414598
51 52 489 3680342547 24464905287
52 53 496 3711454358 24793505458
53 54 501 3739553332 24975140520
54 55 507 3855299851 25165086868
55 56 517 3907045711 25602690086
56 57 522 4067740639 25873827779
57 58 525 4117410391 26394881652
58 59 532 4161887339 26593681947
59 60 534 4317666072 27000622522
60 61 546 4358275324 27011118564
61 62 554 4431833146 27694364135
62 63 560 4503149320 27871154628
63 64 566 4630991736 28069499616
64 65 574 4773428907 28577974926
65 66 579 4851941049 28766271565
66 67 584 4852874709 29288094041
67 68 591 4877476129 29469608984
68 69 600 5042402890 29756760577
69 70 609 5195369752 30198613271
70 71 614 5213479279 30647126161
71 72 622 5276970129 30943481970
72 73 633 5327343930 31246921069
73 74 635 5356205963 31384857131
74 75 640 5445678362 31395559789
75 76 648 5627049611 31975674626
76 77 652 5694110642 32043100535
77 78 658 5720754270 32903968979
78 79 669 5754764113 33028324456
79 80 674 5835742007 33142967926
80 81 689 5864362989 33686933368
81 82 692 5993127919 33992145764
82 83 699 6027415317 34176820421
83 84 704 6120473331 34301784254
84 85 715 6173879066 34522493522
85 86 722 6356606662 34879043515
86 87 725 6364227662 35094857265
87 88 735 6463636665 35573171908
88 89 738 6477336393 35625908256
89 90 741 6492086865 35880600743
90 91 748 6552583730 36140012217
91 92 755 6555197574 36141543795
92 93 757 6591740004 36504986795
93 94 760 6695243113 37047395494
94 95 765 6695412827 37182059361
95 96 767 6791053235 37691851645
96 97 769 6874548063 37974584561
97 98 776 7092479341 38198059222
98 99 783 7219314417 38495232680
99 100 785 7266358002 38660156481
100 101 792 7407092062 38982557441
101 102 795 7420648539 39212033749
102 103 801 7552150574 39505538550
103 104 805 7559493351 39697374447
104 105 816 7627146225 39926134473
105 106 820 7677004385 40098721760
106 107 827 7679695057 40524452034
107 108 835 7707917348 40719249694
108 109 839 7759336330 41437767272
109 109 845 7846581154 41661922609
110 110 851 7996782289 41952030404
111 111 855 8195687609 42130887093
112 112 859 8343869697 42224455602
113 113 863 8377724255 42682684555
114 114 866 8379185715 42801652163
115 115 868 8411758059 42982240958
116 116 872 8414536910 43190036799
117 117 880 8478758804 43509649785
118 118 882 8583658911 43577687913
119 119 884 8637708853 43917734268
120 120 893 8675473043 44138337679
121 121 898 8760156627 44451561312
122 122 906 8821390753 44644623610
123 123 909 8888091552 44775743185
124 124 911 8896747341 45116579800
125 125 914 8949648405 45601958395
126 126 920 8966651557 45744706844
127 127 934 9086949430 45895416742
128 128 938 9174606534 46304765309
129 129 940 9236544894 46314041854
130 130 942 9503932365 46986729417
131 131 949 9507166763 47296841972
132 132 950 9531988823 47308702528
133 133 952 9852068911 47601276672
134 134 960 9906873955 47915690267
135 135 964 10023109207 47956973666
136 136 968 10199834764 48010393118
137 137 977 10263564835 48288059365
138 138 980 10392152639 48849168635
139 139 982 10400542245 48890428683
140 140 988 10420565143 49333633762
141 141 994 10421014331 49935109200
142 142 1000 10468265264 50027265608
143 143 1004 10500460417 50027265608
144 144 1006 10581582454 50136652466
145 145 1012 10583545964 50309342458
146 146 1015 10623634646 50450105264
147 147 1022 10756799823 50919659312
148 148 1024 10835798021 50996202915
149 149 1028 10908988394 51124611403
150 150 1030 10941697269 52144630400
151 151 1032 11000113232 52168133558
152 152 1044 11183161972 52783143771
153 153 1047 11246424544 52830498576
154 154 1051 11288181433 52847073334
