alpha overhead efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 44 32313442918 19301 32378921159 32378921159 1409688307675 8425 612963450009 75775393084870 2277 2321 0 179 0.0716 1479584764912 81262819732020
0.05 0 1.0 42 33986835789 19304 34074940212 34074940212 1410665615071 8425 612653104756 77934833796674 2284 2327 0 173 0.0692 1476913589495 83487119994915
0.1 0 1.0 42 33888273624 19498 33750984098 33750984098 1410283484254 8459 612721025054 78023970573234 2296 2333 0 167 0.0668 1478315816648 83505116302590
0.15 0 1.0 42 33576555101 19505 33381762969 33381762969 1409202742437 8461 613486295956 78351080210790 2280 2323 0 177 0.0708 1480425812614 84194519381075
0.2 0 1.0 40 34801185373 19418 34761943082 34761943082 1411113400401 8448 612695710028 83172857674382 2315 2358 0 142 0.0568 1472078996630 88129867195195
0.25 0 1.0 42 34175879921 19351 34426715265 34426715265 1410326140527 8432 612419889969 79154882044833 2311 2354 0 146 0.0584 1478681814222 83822195585275
0.3 0 1.0 43 34127317297 19698 33956140107 33956140107 1409617262281 8486 613234096090 77303863977922 2280 2327 0 173 0.0692 1469986919688 82497682190240
0.35 0 1.0 41 33523464972 19610 33517668947 33517668947 1411553358949 8471 610721869801 79723293011543 2284 2328 0 172 0.0688 1473364491349 85287262712980
0.4 0 1.0 44 31870875527 19657 31967801279 31967801279 1408944737607 8474 611643366207 75731821498853 2303 2343 0 157 0.0628 1470309337135 80524621047440
0.45 0 1.0 44 31510574608 19380 31779457289 31779457289 1409661069741 8439 611734821670 76556815073743 2313 2357 0 143 0.0572 1471733826833 81127651728780
0.5 0 1.0 41 34274829219 19295 34283956857 34283956857 1410482922662 8422 611984842885 80004337653874 2301 2344 0 156 0.0624 1477436996763 85072395594775
0.55 0 1.0 41 34151258951 19577 34390154530 34390154530 1410576215467 8467 610903540585 79912139189367 2301 2349 0 151 0.0604 1481165291866 85132557982200
0.6 0 1.0 42 33991940136 19210 34343956806 34343956806 1409815087646 8417 611931653582 77379293658046 2274 2317 0 183 0.0732 1477433727812 83510934129820
0.65 0 1.0 42 35383350004 19575 35560959510 35560959510 1411682818617 8465 612277084706 80047923185090 2307 2345 0 155 0.062 1480814563317 85161892831375
0.7 0 1.0 45 32248581239 19600 32144502169 32144502169 1409012324516 8463 611153747669 72547285254375 2274 2323 0 177 0.0708 1470083541935 77893182933340
0.75 0 1.0 42 33896282495 19354 33978718640 33978718640 1409449440365 8438 611088091856 77448563014568 2286 2331 0 169 0.0676 1477995172873 82883018593135
0.8 0 1.0 44 33265332674 19488 33341258835 33341258835 1409655620022 8457 612874422041 75336767877322 2284 2327 0 173 0.0692 1469923640898 81209960989745
0.85 0 1.0 43 33205520485 19351 33201051476 33201051476 1409147737461 8432 612042382443 76387326981294 2284 2325 0 175 0.07 1474797805559 81885353756785
0.9 0 1.0 42 34674005991 19485 34625246585 34625246585 1410297955723 8447 612392910905 79345497327520 2316 2360 0 140 0.056 1472246753743 84007886527185
0.95 0 1.0 37 20225437188 19286 37465491903 32689020053 1394666843257 9660 699439151081 79000219076898 1146 1186 91 1223 0.4892 1443419575612 79606108140705
1.0 663011686547 0.0510455660922 1 699439151081 9660 699439151081 35701424997 699439151081 9660 699439151081 77039960886661 0 1 129 2370 0.948 699439151081 83683101396215
