alpha overhead efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 63 23272988336 28132 23371833079 23371833079 1405685959108 4365 258872421211 49555676302126 2185 2247 0 253 0.1012 1445928346929 55096585504425
0.05 0 1.0 63 22512210100 27949 22848087619 22848087619 1405949702483 4351 260625296816 50415692874608 2198 2258 0 242 0.0968 1450751559749 56140286353230
0.1 0 1.0 61 23463654909 28172 23796305757 23796305757 1407862529638 4372 262035965192 52079856658710 2190 2255 1 244 0.0976 1442173513453 57943090841800
0.15 0 1.0 61 23994356034 27868 24069684878 24069684878 1407322199998 4368 259948623591 52425742189174 2199 2263 0 237 0.0948 1448178939632 57962713629685
0.2 0 1.0 61 24733102062 28327 24734555814 24734555814 1406694848897 4376 262063455854 51712108166697 2197 2259 0 241 0.0964 1444897233516 57470613341175
0.25 0 1.0 62 23482896374 28058 23737369359 23737369359 1406162430493 4366 261241652702 51060686786605 2180 2238 0 262 0.1048 1450093273447 56705730982915
0.3 0 1.0 60 25176015247 28249 25107567802 25107567802 1407612737979 4402 259262884090 52980675935812 2190 2247 0 253 0.1012 1446886785469 58670150842045
0.35 0 1.0 63 22730876691 28210 22719132728 22719132728 1406467855807 4369 257917519171 49857486219578 2181 2252 0 248 0.0992 1441201550825 55591162942995
0.4 0 1.0 61 23943611324 28175 24115826277 24115826277 1407018142742 4374 261903993105 52241989469216 2215 2275 0 225 0.09 1443779335090 57389358735045
0.45 0 1.0 64 22614945278 28109 22422457786 22422457786 1406194164141 4318 256140028495 49762235282216 2191 2262 2 236 0.0944 1445309629548 54914850504690
0.5 0 1.0 63 23552288915 28351 23549421841 23519065381 1406496619972 4361 253459827710 50156668978568 2163 2222 13 265 0.106 1440018743520 55840638234730
0.55 0 1.0 60 24215459852 27858 24715962048 24137811527 1404553093101 4451 264215150199 52723415753022 1998 2056 179 265 0.106 1442858556692 56680291924575
0.6 0 1.0 51 25681538571 27464 27117639266 24327495182 1397999040117 4784 291008007033 61416989876898 1470 1528 670 302 0.1208 1443756989976 58111249456650
0.65 8652855453 0.727498771316 41 26465998010 26403 31332290420 23420815439 1386500115990 5223 328020480396 72329137237772 850 894 1277 329 0.1316 1437680436282 56627746980950
0.7 15600045532 0.597998858276 31 49748390641 25816 40512462403 23550601181 1374818853601 5545 352099954022 81936732220790 478 509 1605 386 0.1544 1423712392672 56344099450440
0.75 22218929538 0.52123628081 25 68809635990 25879 49491825461 24262863015 1365458322573 5859 379133608750 94159225280363 371 395 1746 359 0.1436 1422291368412 57343535584280
0.8 27889713566 0.469411301485 21 76450510252 25914 53637273003 23653736714 1361764350537 5998 390330746609 96175541802607 262 284 1797 419 0.1676 1420228437192 55924905986835
0.85 36880284365 0.414615584069 18 90983653015 25306 64257631009 22937999384 1353530262339 6172 406505495908 104448916203485 226 244 1767 489 0.1956 1422244449948 56502713277685
0.9 54586727245 0.326895901227 14 105846703579 25282 82201151867 24541458710 1345388787764 6487 429966475012 119660176833383 147 163 1720 617 0.2468 1428235488286 57252155190120
0.95 80748960015 0.249185566545 11 134417084560 24274 108207259579 25116994478 1330719101155 6834 461019131759 149443823015061 91 102 1703 695 0.278 1420299509141 58615443496195
1.0 578143656190 0.0412958131336 1 608111372062 8664 608111372062 23486402503 608111372062 8664 608111372062 207570066216030 0 1 461 2038 0.8152 611353210849 55641030782480
