alpha overhead efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 63 23693452311 30060 23740248133 23740248133 1407156070694 5249 326350841901 50868109890716 2198 2261 0 239 0.0956 1444591541252 56307788157585
0.05 0 1.0 64 22286055456 30260 22295513146 22295513146 1406169015913 5224 321954959932 49188349826777 2190 2250 0 250 0.1 1444433651759 54393022648025
0.1 0 1.0 67 21081824714 29953 21222615537 21222615537 1405335039482 5263 322098295982 46365459368218 2156 2221 0 279 0.1116 1444071549008 52271836193240
0.15 0 1.0 66 22086915917 29791 22254770565 22254770565 1405594949735 5228 326130282417 47475243148982 2169 2230 0 270 0.108 1443850877015 53399492264295
0.2 0 1.0 63 24112826164 30015 24165841665 24165841665 1406833851999 5210 329131794927 50553548992969 2193 2252 0 248 0.0992 1441750323815 56268979212870
0.25 0 1.0 62 23296460209 29637 23240652156 23240652156 1406694123787 5215 326997468314 51222245075534 2203 2270 0 230 0.092 1448928046530 56232759891870
0.3 0 1.0 63 23389358748 30225 23502091975 23502091975 1407304026104 5239 323758914246 50463659223061 2197 2256 0 244 0.0976 1440017364536 55985764564855
0.35 0 1.0 66 22167731286 29496 21938739867 21938739867 1405589026847 5203 325483641558 47033317087832 2139 2208 0 292 0.1168 1443196704452 53065471080725
0.4 0 1.0 66 21722824995 29915 21640106830 21640106830 1405391761955 5198 325789537158 46716113269500 2130 2203 0 297 0.1188 1441069308031 53229089688335
0.45 0 1.0 66 22229670872 30220 22070640921 22070640921 1405784784677 5201 321960092422 47442476250121 2179 2244 0 256 0.1024 1445560120857 52861813586685
0.5 0 1.0 62 23890369683 29606 23866842053 23866842053 1407230510432 5247 329330855641 51394531301829 2186 2249 6 245 0.098 1443081527225 56746922849850
0.55 0 1.0 66 21843900833 29909 21570611525 21570611525 1405752272691 5171 320176626217 47500802708620 2175 2245 2 253 0.1012 1444735743889 53086206843830
0.6 0 1.0 64 22904801617 29808 23100057467 22906310544 1405956669795 5232 328240427060 49189418739749 2132 2190 52 258 0.1032 1442817749738 54579563100565
0.65 0 1.0 57 22516552587 28749 23524782885 22436495463 1400346777880 5451 343467703284 56144326713460 1711 1769 450 281 0.1124 1440596406267 54024881544265
0.7 4834753373 0.791088000786 43 24281309034 27387 29085077986 22714810858 1388484405361 5923 379566754721 72150827176322 1040 1086 1086 328 0.1312 1434223024803 53892953301235
0.75 18869178573 0.550219416943 28 53503954420 26264 44550655823 22599268621 1371006418197 6278 412752333949 93266782331849 515 540 1635 325 0.13 1423149210197 55064037130010
0.8 27624102553 0.468702836776 21 75204915466 25663 53594278981 22375177548 1361722184111 6455 427948740560 101808091751952 342 363 1761 376 0.1504 1428848413019 55093254661900
0.85 37971848270 0.391512807573 18 91503570613 25658 63660443164 21634935319 1351841608852 6671 439509593983 109572085323345 268 285 1780 435 0.174 1429332220130 52123274950225
0.9 56600792747 0.312743457358 14 117263796586 24440 81624010089 22890659346 1337507647416 6819 464217763125 137624377447680 183 198 1854 448 0.1792 1421307123184 54864317084930
0.95 81602009181 0.242835765456 11 141472927853 23620 106383755846 22343840737 1323766572661 7084 484411027331 156152903243002 128 139 1775 586 0.2344 1418316994873 53287121823515
1.0 643520285846 0.0357587063066 2 335965056938 9290 671647257510 22707303917 671803010748 9289 671647257510 247466736243004 0 2 463 2035 0.814 674539384531 54366710487770
