alpha overhead container_efficiency cache_efficiency images imagesizes pkgs realsize reqsize size upkgs usize byteswritten deletes inserts merges hits hitrate peaksize reqwritten
0.0 0 1.0 0.338788218839 16 23770030934 7247 24188756513 24188756513 359544846100 2339 121497660121 56312712836395 2434 2451 0 49 0.0196 393674214413 57477641579740
0.05 0 1.0 0.336822583758 16 23180994384 7286 23601009007 23601009007 359205694903 2319 120624406667 55548258050454 2426 2440 0 60 0.024 395562888612 56853407297805
0.1 0 1.0 0.337404130727 16 22258367601 7267 22818589315 22818589315 358538271524 2326 120533373193 54346630720400 2414 2428 0 72 0.0288 395756291568 55938730916215
0.15 0 1.0 0.336634517497 15 24496456543 7262 24764571579 24764571579 359400570891 2322 120713496149 57089922869552 2433 2446 0 54 0.0216 393886863536 58315053669945
0.2 0 1.0 0.335949449686 16 23483396316 7242 23771164274 23771164274 359271153423 2316 120272539790 55837816509505 2433 2447 0 53 0.0212 396857849801 56962948813290
0.25 0 1.0 0.335633706253 16 23727559633 7178 23811220149 23811220149 358601429106 2300 120091191179 55352789887611 2414 2430 0 70 0.028 392196998650 56741839198160
0.3 0 1.0 0.33713439847 15 24194889025 7253 24393590241 24393590241 359311183465 2320 120621021770 56886946184635 2423 2442 0 58 0.0232 398655818249 58233894029950
0.35 0 1.0 0.337078382309 16 23811280960 7230 24116306621 24116306621 358513381368 2314 120639183381 55324796446076 2422 2437 0 63 0.0252 396562415772 56748812644980
0.4 0 1.0 0.337329211732 16 23841854156 7237 24037409942 24037409942 358712634026 2314 121012262456 56045495260244 2431 2448 0 52 0.0208 394025711128 57215132527800
0.45 0 1.0 0.339494931592 15 24830527834 7261 24973886304 24973886304 359146854997 2329 121446203451 57525520564951 2428 2442 1 57 0.0228 395003103029 58695370661460
0.5 0 1.0 0.337154648509 16 23518216879 7266 23578253794 23548235336 359014895362 2324 120604887922 55108526122802 2409 2431 5 64 0.0256 392931384693 56404543171250
0.55 0 1.0 0.339796461043 16 24147995565 7199 24465834063 24453926371 358602344778 2326 121775592599 56173812688093 2378 2394 36 70 0.028 396603344241 57439955144000
0.6 0 1.0 0.360472185951 15 23916033742 7043 24865563357 24128708910 354735293477 2416 127691541992 60587357803380 2092 2106 329 65 0.026 396235471963 57237479181100
0.65 0 1.0 0.404769194521 12 23106224481 6833 26481872578 23125089002 347443977213 2617 139065173546 70845740498816 1430 1446 966 88 0.0352 389692884015 55488843223815
0.7 10948344225 0.675997348977 0.469087234206 9 31118927305 6479 36289046074 23771755030 334934170241 2846 155575376382 91988415691954 835 845 1577 78 0.0312 389068650917 57944348208020
0.75 13328137605 0.624762957646 0.506136444338 9 29668364340 6318 38940517357 22610062347 325545461185 2970 164083660067 96170066567132 654 661 1759 80 0.032 376787918442 54340523569260
0.8 24645167213 0.504589915637 0.550773074495 6 64492783398 6144 51155232414 24879494918 316735250209 3130 173735075159 117991123554979 396 401 1989 110 0.044 371846615805 58409530658205
0.85 33523084768 0.431803618004 0.597429576902 5 77892775392 5963 60145951251 23203463626 308482083145 3267 183244895747 135392796266010 307 312 2079 109 0.0436 374449225144 56376232093615
0.9 47098388373 0.359416354702 0.63075938628 4 92414535096 5723 73418043154 23779966983 299635887642 3372 189058352751 161175379252279 196 200 2174 126 0.0504 372542953022 57348213752975
0.95 75977372426 0.245093726944 0.739930067128 3 118002510262 5167 100805103952 23617955471 278487941400 3569 202932546480 226537500825117 124 128 2245 127 0.0508 372420621520 57074382765675
1.0 227622622410 0.0960438061899 1.0 1 251381684684 4204 251381684684 23795257896 251381684684 4204 251381684684 505032640126593 20 21 2193 286 0.1144 356782506488 55997682047365
