step byteswritten deletes hits images imagesizes inserts merges pkgs realsize reqsize size upkgs usize
0 21690410856 0 0 1 21690410856 1 0 546 21690410856 21690410856 21690410856 546 21690410856
1 71233974138 0 0 1 49543563282 1 1 1010 49543563282 41782963210 49543563282 1010 49543563282
2 135730258091 0 0 1 64496283953 1 2 1373 64496283953 39413419677 64496283953 1373 64496283953
3 149978377177 0 0 2 39372201519 2 2 1664 14248119086 14248119086 78744403039 1443 65475759817
4 226628813994 0 0 2 45449277951 2 3 1973 76650436817 38549722210 90898555903 1745 77558556532
5 245491819284 0 0 2 47756721053 2 4 2062 18863005290 11861602824 95513442107 1771 79902947087
6 284384202180 0 0 2 57771409856 2 5 2475 38892382896 35069282913 115542819713 1891 86010108405
7 334566619927 0 0 2 63416427282 2 6 2710 50182417747 33798086453 126832854564 2000 92354084403
8 387845308388 0 0 2 64964562639 2 7 2773 53278688461 18317270714 129929125278 2038 94621318529
9 448458860050 0 0 2 68631994239 2 8 3014 60613551662 31856443256 137263988479 2160 98610773144
10 460983944118 0 0 3 60613551662 3 8 3317 12525084068 12525084068 149789072547 2190 100288720991
11 488498665742 0 0 3 60613551662 3 9 3407 27514721624 19961145172 164778710103 2211 109445806152
12 491177415577 0 0 4 44064136643 4 9 3481 2678749835 2678749835 167457459938 2219 109676738041
13 535484831280 0 0 4 52460483682 4 10 3812 44307415703 28212029305 184250154017 2301 114759012260
14 551476862711 0 0 5 44307415703 5 10 4064 15992031431 15992031431 200242185448 2321 115970595934
15 639218102667 0 0 5 44307415703 5 11 4382 87741239956 36906711147 211332988587 2535 125540801754
16 668389717227 0 0 5 44307415703 5 12 4705 29171614560 23297737209 224512571716 2615 129162876911
17 736915089268 0 0 5 44307415703 5 13 4902 68525372041 29579936667 232424392095 2736 134673295876
18 768003428518 0 0 5 44307415703 5 14 5012 31088339250 10006141268 234341116785 2752 135287568451
19 770397864727 0 0 6 37697877476 6 14 5063 2394436209 2394436209 236735552994 2755 135807121596
20 770397864727 0 1 6 37697877476 6 14 5063 68525372041 35069282913 236735552994 2755 135807121596
21 833804271100 0 1 6 47247372811 6 15 5354 63406406373 37646732189 255834543664 2834 144880035966
22 909505478375 0 1 6 47247372811 6 16 5475 75701207275 36223431850 263010378898 2886 147973781786
23 926982305115 0 1 7 31088339250 7 16 5757 17476826740 17476826740 280487205638 2916 151680571952
24 974810402240 0 1 7 47828097125 7 17 6019 47828097125 34264710100 297226963513 2988 158093585881
25 1061871869757 0 1 7 47828097125 7 18 6237 87061467517 36426909825 308587223755 3082 164333081754
26 1120047143199 0 1 7 58175273442 7 19 6431 58175273442 30121370432 318934400072 3148 169656649969
27 1153798237843 0 1 7 58175273442 7 20 6749 33751094644 26543087837 335208667976 3189 170987825601
28 1201709983194 0 1 7 58175273442 7 21 7001 47911745351 30830929266 349369318683 3230 176228009061
29 1258039465250 0 1 7 58175273442 7 22 7228 56329482056 27502827606 357787055388 3266 179480789839
30 1322240670933 0 1 7 63406406373 7 23 7316 64201205683 24243342637 365658779015 3298 182984712165
31 1383195022372 0 1 7 63406406373 7 24 7398 60954351439 18248028051 368437857012 3335 184304856310
32 1394606172894 0 1 8 62180378906 8 24 7628 11411150522 11411150522 379849007534 3349 185382419520
33 1473322617078 0 1 8 62180378906 8 25 7902 78716444184 37333807548 394364246035 3433 193546618742
34 1494309613803 0 1 8 62180378906 8 26 8071 20986996725 16320010959 403940092238 3451 195588253093
35 1533908400517 0 1 8 62180378906 8 27 8440 39598786714 32887973612 422551882227 3526 199741149524
36 1581007359920 0 1 8 62180378906 8 28 8601 47098959403 23554833477 430052054916 3557 202035337449
37 1635531409182 0 1 8 62180378906 8 29 8703 54524049262 20383625858 437477144775 3575 203436111887
38 1703011408177 0 1 8 65443202684 8 30 8908 67479998995 26749671582 444002792331 3640 207172991332
